iter	Logloss
0	0.5687823664
1	0.4770166058
2	0.4109407156
3	0.3592956725
4	0.3231963113
5	0.2957425582
6	0.2731608517
7	0.2540757336
8	0.241125981
9	0.2291117832
10	0.2174693871
11	0.2084506734
12	0.2013861525
13	0.1963038117
14	0.1924358495
15	0.1892487774
16	0.1872984801
17	0.1849189443
18	0.1833938732
19	0.1816119373
20	0.1806403986
21	0.1797532047
22	0.1787514274
23	0.1777654901
24	0.1769276479
25	0.1763877387
26	0.1762140101
27	0.175173328
28	0.1745389388
29	0.1730440649
30	0.1722262665
31	0.1708513046
32	0.1706838954
33	0.1704099831
34	0.169555212
35	0.1694827848
36	0.1693258199
37	0.1691305385
38	0.1683678524
39	0.168254805
40	0.1676680877
41	0.1676068163
42	0.1669383905
43	0.1668856322
44	0.1663728201
45	0.1662502771
46	0.166176201
47	0.1659070226
48	0.165825735
49	0.1654856767
50	0.1654764807
51	0.1652885394
52	0.1651893249
53	0.1651204856
54	0.1648371042
55	0.1647986321
56	0.1647504312
57	0.1646271961
58	0.1643432249
59	0.1642335175
60	0.1638929948
61	0.1635482517
62	0.1634823841
63	0.1634801485
64	0.1631888055
65	0.1629712064
66	0.1629078237
67	0.1627273237
68	0.1626829267
69	0.1626575609
70	0.1625686155
71	0.162508755
72	0.1624817728
73	0.1624139452
74	0.1620411595
75	0.1618773209
76	0.1617749233
77	0.1617376144
78	0.1617068386
79	0.1615883761
80	0.1615777544
81	0.1615704325
82	0.1615048967
83	0.1614252061
84	0.1614067635
85	0.1613911878
86	0.1613051788
87	0.161182568
88	0.1610771328
89	0.1608839284
90	0.1607832991
91	0.1607003124
92	0.1605166494
93	0.1599589127
94	0.159907632
95	0.1596960008
96	0.159675726
97	0.1596419598
98	0.1591311039
99	0.1590212301
100	0.1589166237
101	0.1588107983
102	0.1585329467
103	0.1583959126
104	0.1583258157
105	0.1580412035
106	0.1579476557
107	0.1579145802
108	0.1578963542
109	0.1578152644
110	0.1577585476
111	0.1576476335
112	0.1576157261
113	0.1575989794
114	0.1574362128
115	0.1574060801
116	0.1573575275
117	0.157211616
118	0.1571542285
119	0.1570972253
120	0.1569935258
121	0.1569224289
122	0.1567052592
123	0.156629272
124	0.156319171
125	0.15626638
126	0.15620883
127	0.1561730507
128	0.1560771028
129	0.1559589804
130	0.1559025272
131	0.15584487
132	0.1557591135
133	0.1557291704
134	0.155700274
135	0.1556427952
136	0.1554769517
137	0.1554276631
138	0.1553101987
139	0.1550170324
140	0.1547911178
141	0.1547827824
142	0.1547482747
143	0.1547379038
144	0.1547159575
145	0.1546486122
146	0.1546296427
147	0.1545837418
148	0.1545475926
149	0.154439715
150	0.1543584538
151	0.1542099097
152	0.1541500671
153	0.1541036403
154	0.154064478
155	0.1540125307
156	0.1539438489
157	0.1539136018
158	0.1538928083
159	0.1538886668
160	0.1538467848
161	0.1538437941
162	0.1536122994
163	0.1534072189
164	0.1533814541
165	0.1533184745
166	0.1532429597
167	0.1532259664
168	0.1530565003
169	0.1530376141
170	0.1530012381
171	0.152956659
172	0.1528868045
173	0.1528613845
174	0.1527906953
175	0.1527392055
176	0.1526918663
177	0.1526156318
178	0.152595926
179	0.152588222
180	0.1525416026
181	0.1525290069
182	0.1523775474
183	0.1523628097
184	0.1523547657
185	0.1522953286
186	0.152282097
187	0.1522776605
188	0.1522383126
189	0.1522333033
190	0.152228568
191	0.1521403983
192	0.1520788242
193	0.1520310662
194	0.1520155928
195	0.1519107522
196	0.1518678231
197	0.1518232126
198	0.1517879885
199	0.1517802921
200	0.151775241
201	0.1517339688
202	0.1517179037
203	0.1516807634
204	0.1514821051
205	0.1514560398
206	0.1514421115
207	0.1514269731
208	0.1513974516
209	0.1513950462
210	0.1513884983
211	0.1511500983
212	0.1510772953
213	0.1510657598
214	0.1509954442
215	0.1509769351
216	0.1509526737
217	0.1509103681
218	0.1508641666
219	0.1507076456
220	0.1506472135
221	0.150617001
222	0.1505745753
223	0.1505278059
224	0.1505212615
225	0.1505174146
226	0.1504099014
227	0.1502893003
228	0.1502785132
229	0.1502635492
230	0.1502206171
231	0.150175254
232	0.150147907
233	0.1499755775
234	0.1499165413
235	0.1499123794
236	0.1499017171
237	0.1498335579
238	0.149797044
239	0.1497464316
240	0.1497146897
241	0.1497034999
242	0.1496232264
243	0.1495677172
244	0.1495658819
245	0.1495500612
246	0.1495053487
247	0.1494390351
248	0.1494213679
249	0.1494130883
250	0.1494105322
251	0.14940251
252	0.1494012711
253	0.1493468118
254	0.1493354821
255	0.149308304
256	0.1493004497
257	0.149242391
258	0.1491351596
259	0.1491069002
260	0.1490100556
261	0.1489001105
262	0.1488780998
263	0.1488715874
264	0.1488667165
265	0.1488344947
266	0.1488139061
267	0.1487820301
268	0.1487564231
269	0.1487397035
270	0.1487115571
271	0.1486954657
272	0.1486880169
273	0.148553232
274	0.1485474786
275	0.1485429474
276	0.1485252773
277	0.1484849161
278	0.1484713125
279	0.1484553729
280	0.1484413996
281	0.1484219216
282	0.1484213825
283	0.1484096165
284	0.1484054187
285	0.1482413051
286	0.1482154098
287	0.1481476519
288	0.1481452908
289	0.1480657281
290	0.1479965894
291	0.1479855932
292	0.1479688302
293	0.1479593922
294	0.147951713
295	0.1479286875
296	0.1479272089
297	0.1477949513
298	0.1477713557
299	0.1477421971
300	0.147716922
301	0.1475864591
302	0.147583745
303	0.1475388523
304	0.1475253268
305	0.147386746
306	0.1473523721
307	0.1473201921
308	0.1471970092
309	0.1471867132
310	0.1471762283
311	0.1471737041
312	0.1471695905
313	0.1471660809
314	0.1471496456
315	0.1471420924
316	0.1471158048
317	0.1471065636
318	0.1471002658
319	0.1470502917
320	0.1470241516
321	0.146993906
322	0.1469737751
323	0.1469179764
324	0.146872033
325	0.1468710276
326	0.1468471206
327	0.1468168683
328	0.1468031191
329	0.1467801906
330	0.1467725484
331	0.1467660869
332	0.1467534475
333	0.1466391107
334	0.1465970674
335	0.1465945546
336	0.1465641826
337	0.1465501072
338	0.1465488944
339	0.1465421382
340	0.1465190817
341	0.1465119291
342	0.1465107704
343	0.1464678151
344	0.146424367
345	0.1464199927
346	0.1463808385
347	0.146343581
348	0.1463232965
349	0.1463156633
350	0.1463137052
351	0.1462927015
352	0.1462751122
353	0.1462743106
354	0.1462667316
355	0.1462609001
356	0.146248146
357	0.1462312487
358	0.1462241406
