iter	Passed	Remaining
254	32845	95961
255	32978	95845
256	33109	95720
257	33245	95612
258	33390	95529
259	33531	95434
260	33650	95278
261	33773	95133
262	33896	94986
263	34015	94829
264	34151	94720
265	34285	94608
266	34397	94431
267	34525	94301
268	34672	94220
269	34841	94200
270	34967	94063
271	35104	93954
272	35206	93755
273	35328	93607
274	35464	93497
275	35588	93355
276	35705	93194
277	35820	93029
278	35954	92914
279	36079	92775
280	36191	92602
281	36323	92482
282	36415	92261
283	36549	92146
284	36661	91974
285	36782	91827
286	36908	91693
287	37054	91607
288	37185	91483
289	37311	91349
290	37442	91224
291	37584	91130
292	37711	90996
293	37850	90893
294	37976	90757
295	38109	90638
296	38226	90482
297	38359	90364
298	38490	90240
299	38618	90108
300	38741	89968
301	38879	89860
302	39006	89727
303	39141	89612
304	39272	89489
305	39413	89389
306	39552	89283
307	39692	89178
308	39830	89071
309	39962	88948
310	40091	88820
311	40209	88666
312	40327	88514
313	40443	88357
314	40575	88236
315	40713	88127
316	40839	87990
317	40968	87862
318	41078	87695
319	41204	87559
320	41338	87441
321	41461	87300
322	41599	87190
323	41717	87040
324	41858	86937
325	41982	86798
326	42106	86659
327	42215	86491
328	42328	86329
329	42455	86198
330	42586	86073
331	42717	85948
332	42839	85808
333	42969	85680
334	43102	85562
335	43217	85405
336	43344	85273
337	43480	85159
338	43602	85018
339	43725	84879
340	43833	84711
341	43972	84601
342	44090	84452
343	44216	84319
344	44359	84217
345	44495	84103
346	44616	83961
347	44776	83891
348	44920	83791
349	45056	83676
350	45173	83525
351	45308	83409
352	45424	83256
353	45550	83123
354	45674	82985
355	45799	82850
356	45921	82709
357	46056	82592
358	46191	82475
359	46310	82329
360	46423	82173
361	46551	82043
362	46685	81925
363	46809	81788
364	46922	81632
365	47052	81506
366	47180	81376
367	47309	81248
368	47433	81112
369	47556	80974
370	47679	80837
371	47802	80698
372	47916	80545
373	48030	80392
374	48149	80249
375	48270	80107
376	48406	79992
377	48530	79857
378	48648	79712
379	48778	79586
380	48904	79453
381	49034	79328
382	49165	79203
383	49295	79077
384	49422	78947
385	49541	78804
386	49667	78672
387	49796	78545
388	49923	78415
389	50055	78292
390	50170	78143
391	50302	78019
392	50421	77877
393	50541	77736
394	50648	77575
395	50774	77444
396	50900	77312
397	51021	77173
398	51150	77046
399	51272	76909
400	51415	76803
401	51553	76688
402	51672	76547
403	51789	76402
404	51908	76260
405	52034	76129
406	52163	76002
407	52294	75877
408	52411	75733
409	52529	75591
410	52662	75470
411	52808	75368
412	52969	75286
413	53116	75184
414	53252	75067
415	53389	74950
416	53507	74807
417	53638	74682
418	53778	74570
419	53915	74455
420	54033	74312
421	54154	74173
422	54272	74031
423	54406	73910
424	54525	73770
425	54650	73636
426	54781	73512
427	54907	73381
428	55033	73249
429	55156	73114
430	55293	72997
431	55421	72868
432	55551	72742
433	55670	72601
434	55790	72463
435	55918	72334
436	56030	72185
437	56159	72058
438	56281	71922
439	56406	71789
440	56545	71675
441	56671	71544
442	56800	71417
443	56930	71291
444	57049	71151
445	57167	71010
446	57270	70851
447	57394	70718
448	57524	70592
449	57649	70461
450	57779	70334
451	57898	70195
452	58034	70077
453	58181	69971
454	58306	69839
455	58438	69716
456	58582	69606
457	58703	69469
458	58830	69340
459	58961	69215
460	59081	69077
461	59186	68922
462	59300	68778
463	59436	68659
464	59578	68546
465	59711	68424
466	59848	68307
467	59958	68157
468	60079	68021
469	60204	67890
470	60326	67754
471	60455	67628
472	60587	67504
473	60694	67352
474	60820	67222
475	60935	67080
476	61059	66948
477	61187	66819
478	61290	66665
479	61423	66542
480	61531	66392
481	61641	66245
482	61766	66114
483	61896	65988
484	62022	65858
485	62141	65722
486	62271	65596
487	62402	65471
488	62528	65341
489	62702	65262
490	62823	65126
491	62950	64997
492	63056	64847
493	63176	64710
494	63287	64565
495	63409	64432
496	63530	64297
497	63645	64156
498	63748	64003
499	63874	63874
500	63987	63732
501	64101	63590
502	64232	63466
503	64340	63318
504	64456	63179
505	64594	63062
506	64715	62928
507	64845	62803
508	64954	62657
509	65067	62515
510	65190	62384
511	65309	62248
512	65432	62115
513	65548	61977
514	65662	61837
515	65777	61698
516	65898	61564
517	66012	61425
518	66121	61279
519	66241	61146
520	66363	61013
521	66486	60882
522	66612	60753
523	66727	60615
524	66852	60485
525	66976	60355
526	67112	60236
527	67235	60104
528	67372	59985
529	67489	59849
530	67605	59711
531	67726	59578
532	67854	59452
533	67979	59322
534	68092	59183
535	68191	59031
536	68278	58869
537	68384	58724
538	68510	58596
539	68617	58451
540	68737	58318
541	68852	58181
542	68986	58060
543	69115	57935
544	69268	57829
545	69421	57724
546	69557	57604
547	69685	57477
548	69811	57349
549	69926	57212
550	70048	57081
551	70191	56967
552	70336	56854
553	70456	56721
554	70594	56602
555	70724	56478
556	70860	56357
557	70981	56225
558	71119	56107
559	71237	55972
560	71362	55843
561	71499	55723
562	71638	55605
563	71753	55469
564	71863	55328
565	71995	55204
566	72117	55073
567	72240	54943
568	72362	54812
569	72497	54691
570	72633	54570
571	72757	54441
572	72884	54313
573	73020	54192
574	73138	54059
575	73259	53927
576	73374	53791
577	73491	53656
578	73618	53528
579	73747	53403
580	73876	53277
581	73987	53138
582	74120	53015
583	74250	52890
584	74386	52769
585	74513	52642
586	74635	52511
587	74756	52380
588	74889	52257
589	75042	52148
590	75167	52019
591	75281	51882
592	75401	51750
593	75516	51615
594	75644	51489
595	75768	51360
596	75889	51228
597	76012	51098
598	76133	50967
599	76264	50843
600	76389	50714
601	76499	50575
602	76624	50447
603	76739	50312
604	76807	50146
605	76906	50002
606	77024	49869
607	77148	49740
608	77277	49615
609	77411	49492
610	77535	49363
611	77658	49234
612	77789	49110
613	77914	48982
614	78044	48857
615	78170	48729
616	78305	48607
617	78418	48472
618	78543	48344
619	78665	48214
620	78782	48081
621	78918	47959
622	79025	47820
623	79149	47692
624	79277	47566
625	79405	47440
626	79551	47324
627	79690	47204
628	79797	47066
629	79911	46932
630	80032	46802
631	80143	46665
632	80274	46541
633	80410	46419
634	80535	46292
635	80651	46159
636	80770	46027
637	80891	45897
638	81008	45765
639	81116	45627
640	81241	45500
641	81369	45374
642	81496	45247
643	81636	45128
644	81758	44998
645	81887	44873
646	82017	44748
647	82143	44621
648	82249	44482
649	82349	44342
650	82473	44213
651	82600	44087
652	82720	43957
653	82845	43829
654	82961	43697
655	83092	43572
656	83215	43444
657	83347	43320
658	83470	43192
659	83579	43056
660	83690	42921
661	83814	42793
662	83966	42679
663	84073	42543
664	84191	42412
665	84315	42284
666	84437	42155
667	84556	42025
668	84670	41892
669	84792	41763
670	84908	41631
671	85017	41496
672	85123	41359
673	85240	41229
674	85368	41103
675	85498	40978
676	85617	40848
677	85738	40719
678	85882	40601
679	86015	40477
680	86264	40408
681	86554	40358
682	87049	40402
683	87215	40292
684	87399	40190
685	87542	40070
686	87734	39972
687	87865	39846
688	88003	39723
689	88129	39594
690	88266	39470
691	88428	39358
692	88595	39247
693	88757	39135
694	88908	39017
695	89053	38897
696	89217	38784
697	89350	38658
698	89489	38535
699	89631	38413
700	89775	38292
701	89920	38171
702	90065	38050
703	90195	37923
704	90321	37794
705	90434	37659
706	90582	37539
707	90729	37419
708	90876	37299
709	91000	37169
710	91138	37045
711	91275	36920
712	91412	36795
713	91540	36667
714	91655	36534
715	91786	36406
716	91900	36273
717	92026	36144
718	92160	36018
719	92291	35891
720	92425	35765
721	92548	35634
722	92663	35501
723	92813	35382
724	92950	35257
725	93102	35137
726	93239	35012
727	93377	34888
728	93495	34756
729	93617	34625
730	93740	34495
731	93866	34366
732	93982	34233
733	94104	34103
734	94246	33980
735	94375	33852
736	94512	33726
737	94638	33597
738	94751	33464
739	94892	33340
740	95009	33208
741	95127	33076
742	95259	32949
743	95396	32824
744	95528	32697
745	95656	32569
746	95800	32446
747	95934	32320
748	96058	32190
749	96193	32064
750	96324	31937
751	96457	31810
752	96571	31677
753	96694	31547
754	96783	31406
755	96890	31271
756	97020	31143
757	97153	31017
758	97277	30887
759	97405	30759
760	97526	30629
761	97658	30502
762	97739	30359
763	97847	30225
764	97976	30097
765	98076	29960
766	98203	29832
767	98327	29703
768	98440	29570
769	98566	29441
770	98680	29309
771	98791	29176
772	98919	29048
773	99035	28917
774	99145	28784
775	99260	28652
776	99387	28524
777	99523	28398
778	99643	28268
779	99764	28138
780	99882	28008
781	99995	27875
782	100129	27749
783	100256	27621
784	100360	27487
785	100487	27359
786	100611	27230
787	100727	27099
788	100845	26968
789	100980	26843
790	101111	26715
791	101244	26589
792	101351	26456
793	101473	26326
794	101595	26197
795	101726	26070
796	101857	25943
797	101970	25811
798	102079	25679
799	102206	25551
800	102330	25422
801	102455	25294
802	102577	25165
803	102710	25038
804	102837	24911
805	102946	24778
806	103053	24645
807	103192	24520
808	103332	24396
809	103453	24266
810	103583	24139
811	103701	24009
812	103831	23882
813	103954	23753
814	104068	23622
815	104192	23494
816	104321	23367
817	104450	23239
818	104581	23112
819	104712	22985
820	104843	22858
821	104970	22730
822	105102	22603
823	105224	22475
824	105336	22344
825	105460	22215
826	105629	22096
827	105769	21971
828	105900	21844
829	106017	21714
830	106139	21585
831	106255	21455
832	106373	21325
833	106489	21195
834	106610	21066
835	106723	20936
836	106849	20808
837	106964	20678
838	107112	20554
839	107244	20427
840	107371	20299
841	107498	20171
842	107632	20045
843	107767	19919
844	107884	19789
845	108000	19659
846	108124	19531
847	108249	19403
848	108356	19271
849	108467	19141
850	108575	19010
851	108712	18884
852	108851	18758
853	108966	18628
854	109095	18501
855	109223	18374
856	109338	18244
857	109468	18117
858	109603	17990
859	109740	17864
860	109851	17734
861	109974	17606
862	110096	17477
863	110206	17347
864	110314	17216
865	110441	17089
866	110568	16961
867	110703	16835
868	110846	16709
869	110965	16581
870	111100	16454
871	111237	16328
872	111365	16200
873	111486	16072
874	111608	15944
875	111737	15816
876	111871	15690
877	111972	15558
878	112116	15433
879	112243	15305
880	112356	15176
881	112487	15049
882	112621	14922
883	112765	14797
884	112879	14667
885	112990	14538
886	113153	14415
887	113292	14289
888	113395	14158
889	113517	14030
890	113642	13902
891	113778	13775
892	113878	13644
893	114018	13518
894	114136	13390
895	114237	13259
896	114371	13132
897	114502	13005
898	114633	12878
899	114779	12753
900	114887	12623
901	115014	12496
902	115133	12367
903	115252	12239
904	115379	12111
905	115495	11982
906	115614	11854
907	115761	11729
908	115895	11602
909	116025	11475
910	116155	11347
911	116277	11219
912	116396	11091
913	116522	10963
914	116644	10835
915	116755	10706
916	116892	10580
917	117010	10451
918	117134	10324
919	117246	10195
920	117370	10067
921	117496	9940
922	117620	9812
923	117747	9684
924	117876	9557
925	117992	9429
926	118121	9301
927	118234	9173
928	118359	9045
929	118487	8918
930	118609	8790
931	118734	8663
932	118850	8534
933	118971	8406
934	119088	8278
935	119215	8151
936	119334	8023
937	119454	7895
938	119583	7768
939	119711	7641
940	119840	7513
941	119944	7385
942	120065	7257
943	120197	7130
944	120322	7002
945	120442	6875
946	120557	6747
947	120672	6619
948	120798	6491
949	120909	6363
950	121052	6237
951	121183	6110
952	121298	5982
953	121435	5855
954	121562	5728
955	121689	5600
956	121814	5473
957	121935	5345
958	122055	5218
959	122180	5090
960	122341	4964
961	122487	4838
962	122586	4709
963	122710	4582
964	122842	4455
965	122953	4327
966	123074	4200
967	123191	4072
968	123311	3944
969	123419	3817
970	123534	3689
971	123649	3561
972	123769	3434
973	123881	3306
974	123993	3179
975	124116	3052
976	124237	2924
977	124364	2797
978	124493	2670
979	124616	2543
980	124751	2416
981	124867	2288
982	124985	2161
983	125105	2034
984	125209	1906
985	125332	1779
986	125428	1652
987	125531	1524
988	125653	1397
989	125778	1270
990	125898	1143
991	126016	1016
992	126135	889
993	126257	762
994	126377	635
995	126479	507
996	126607	380
997	126747	254
998	126876	127
999	126987	0
